Date,Equity
2004-09-03,10000.0
2004-09-06,10000.0
2004-09-07,10000.0
2004-09-08,10000.0
2004-09-09,10000.0
2004-09-10,10000.0
2004-09-13,10000.0
2004-09-14,10000.0
2004-09-15,10000.0
2004-09-16,10000.0
2004-09-17,10000.0
2004-09-20,10000.0
2004-09-21,10000.0
2004-09-22,10000.0
2004-09-23,10000.0
2004-09-24,10000.0
2004-09-27,10000.0
2004-09-28,10000.0
2004-09-29,10000.0
2004-09-30,10000.0
2004-10-01,10000.0
2004-10-04,10000.0
2004-10-05,10000.0
2004-10-06,10000.0
2004-10-07,10000.0
2004-10-08,10000.0
2004-10-11,10000.0
2004-10-12,10000.0
2004-10-13,10000.0
2004-10-14,10000.0
2004-10-15,10067.36409703635
2004-10-18,10075.533468171521
2004-10-19,10099.596720854233
2004-10-20,10147.884257111828
2004-10-21,10180.999366054002
2004-10-22,10238.077510268953
2004-10-25,10334.419236002788
2004-10-26,10329.252026384787
2004-10-27,10329.252026384787
2004-10-29,10329.252026384787
2004-11-01,10329.252026384787
2004-11-02,10329.252026384787
2004-11-03,10408.917221898104
2004-11-04,10447.8373564835
2004-11-05,10523.834190202724
2004-11-08,10518.572273107624
2004-11-09,10518.572273107624
2004-11-10,10518.572273107624
2004-11-11,10518.572273107624
2004-11-12,10562.04109578654
2004-11-15,10556.760075238648
2004-11-16,10556.760075238648
2004-11-17,10613.237809287513
2004-11-18,10607.93119038287
2004-11-19,10676.09560896309
2004-11-22,10676.93011101501
2004-11-23,10723.533887735266
2004-11-24,10789.605984197464
2004-11-25,10854.925272952638
2004-11-26,10885.18939203981
2004-11-29,10879.74679734379
2004-11-30,10901.328147793065
2004-12-01,10940.539690059577
2004-12-02,10935.069420214548
2004-12-03,11097.353618012196
2004-12-06,11091.80494120319
2004-12-07,11091.80494120319
2004-12-08,11091.80494120319
2004-12-09,11091.80494120319
2004-12-10,11091.80494120319
2004-12-13,11091.80494120319
2004-12-14,11091.80494120319
2004-12-15,11091.80494120319
2004-12-16,11091.80494120319
2004-12-17,11091.80494120319
2004-12-20,11091.80494120319
2004-12-21,11091.80494120319
2004-12-22,11091.80494120319
2004-12-23,11186.073536457214
2004-12-24,11207.558097346435
2004-12-27,11278.48645871185
2004-12-28,11272.847215482494
2004-12-29,11272.847215482494
2004-12-30,11284.71042254386
2004-12-31,11279.068067332588
2005-01-03,11279.068067332588
2005-01-04,11279.068067332588
2005-01-05,11279.068067332588
2005-01-06,11279.068067332588
2005-01-07,11279.068067332588
2005-01-10,11279.068067332588
2005-01-11,11279.068067332588
2005-01-12,11279.068067332588
