Date,Equity
2000-10-16,10000.0
2000-10-17,9743.095781311486
2000-10-18,9738.22423342083
2000-10-19,9738.22423342083
2000-10-20,9774.770793590966
2000-10-23,9818.344642473794
2000-10-24,9752.622914654072
2000-10-25,9747.746603196745
2000-10-26,9747.746603196745
2000-10-27,9926.110784074453
2000-10-30,10014.799064781302
2000-10-31,10185.918472856802
2000-11-01,10151.350511580531
2000-11-02,10146.274836324741
2000-11-03,10146.755162485888
2000-11-06,10217.57449988739
2000-11-07,10215.349340035129
2000-11-08,10210.241665365113
2000-11-09,10210.241665365113
2000-11-10,10210.241665365113
2000-11-13,10210.241665365113
2000-11-14,10210.241665365113
2000-11-15,10237.19108139946
2000-11-16,10075.464263476857
2000-11-17,10070.42653134512
2000-11-20,10070.42653134512
2000-11-21,10070.42653134512
2000-11-22,9821.871811306424
2000-11-24,9816.960875400771
2000-11-27,9898.130273345216
2000-11-28,9726.10260420797
2000-11-29,9721.239552905867
2000-11-30,9721.239552905867
2000-12-01,9721.239552905867
2000-12-04,9721.239552905867
2000-12-05,10030.219638530076
2000-12-06,9868.462044089338
2000-12-07,9863.527813067294
2000-12-08,9863.527813067294
2000-12-11,10195.594563796896
2000-12-12,10151.833025250076
2000-12-13,10146.757108737453
2000-12-14,10146.757108737453
2000-12-15,10146.757108737453
2000-12-18,10146.757108737453
2000-12-19,9932.88441643287
2000-12-20,9927.917974224654
2000-12-21,9927.917974224654
2000-12-22,10216.32059203698
2000-12-26,10325.4540897983
2000-12-27,10400.75837807809
2000-12-28,10432.410506711316
2000-12-29,10233.034981082666
2001-01-02,10227.918463592126
2001-01-03,10227.918463592126
2001-01-04,10112.112940450099
2001-01-05,10107.056883979874
2001-01-08,10107.056883979874
2001-01-09,10075.282894294909
2001-01-10,10070.245252847762
2001-01-11,10074.732534809602
2001-01-12,10055.667486206446
2001-01-16,10050.639652463344
2001-01-17,10091.61724296994
2001-01-18,10191.550850890988
2001-01-19,10133.490347436706
2001-01-22,10128.423602262988
2001-01-23,10202.815243117328
2001-01-24,10233.25214960824
2001-01-25,10207.428882131248
2001-01-26,10202.325167690182
