Date,Equity
2015-04-04,10000.0
2015-04-05,10000.0
2015-04-06,10000.0
2015-04-07,10000.0
2015-04-08,10000.0
2015-04-09,10000.0
2015-04-10,10000.0
2015-04-11,10000.0
2015-04-12,10000.0
2015-04-13,10000.0
2015-04-14,10000.0
2015-04-15,10000.0
2015-04-16,10000.0
2015-04-17,10000.0
2015-04-18,10000.0
2015-04-19,10000.0
2015-04-20,10000.0
2015-04-21,10000.0
2015-04-22,10000.0
2015-04-23,10000.0
2015-04-24,10000.0
2015-04-25,10000.0
2015-04-26,10000.0
2015-04-27,10000.0
2015-04-28,10000.0
2015-04-29,10000.0
2015-04-30,10000.0
2015-05-01,10000.0
2015-05-02,10000.0
2015-05-03,10000.0
2015-05-04,10000.0
2015-05-05,10000.0
2015-05-06,10000.0
2015-05-07,10000.0
2015-05-08,10000.0
2015-05-09,10000.0
2015-05-10,10000.0
2015-05-11,10000.0
2015-05-12,10000.0
2015-05-13,10000.0
2015-05-14,10000.0
2015-05-15,10000.0
2015-05-16,10000.0
2015-05-17,10000.0
2015-05-18,10000.0
2015-05-19,10000.0
2015-05-20,10000.0
2015-05-21,10000.0
2015-05-22,10000.0
2015-05-23,10000.0
2015-05-24,10000.0
2015-05-25,10000.0
2015-05-26,10000.0
2015-05-27,10000.0
2015-05-28,10000.0
2015-05-29,10000.0
2015-05-30,10000.0
2015-05-31,10000.0
2015-06-01,10000.0
2015-06-02,10000.0
2015-06-03,10000.0
2015-06-04,10000.0
2015-06-05,10000.0
2015-06-06,10000.0
2015-06-07,10000.0
2015-06-08,10000.0
2015-06-09,10000.0
2015-06-10,10000.0
2015-06-11,10000.0
2015-06-12,10000.0
2015-06-13,10000.0
2015-06-14,10000.0
2015-06-15,10000.0
2015-06-16,10000.0
2015-06-17,10000.0
2015-06-18,10000.0
2015-06-19,10000.0
2015-06-20,10000.0
2015-06-21,10000.0
2015-06-22,10000.0
2015-06-23,10000.0
2015-06-24,10000.0
2015-06-25,10000.0
2015-06-26,10000.0
2015-06-27,10000.0
2015-06-28,10000.0
2015-06-29,10000.0
2015-06-30,10000.0
2015-07-01,10000.0
2015-07-02,10000.0
2015-07-03,10000.0
2015-07-04,10000.0
2015-07-05,10000.0
2015-07-06,10000.0
2015-07-07,10000.0
2015-07-08,10000.0
2015-07-09,10000.0
2015-07-10,10000.0
2015-07-11,10000.0
2015-07-12,10000.0
2015-07-13,10000.0
2015-07-14,9995.0
2015-07-15,9937.99019206747
2015-07-16,9665.166550192891
2015-07-17,9713.114347471179
2015-07-18,9552.935202758003
2015-07-19,9508.106789455365
2015-07-20,9692.803955606016
2015-07-21,9582.810054442978
2015-07-22,9630.94389794377
2015-07-23,9590.107272649851
2015-07-24,10005.808865881187
2015-07-25,10020.340492962765
2015-07-26,10157.846759166843
2015-07-27,10190.34816419545
2015-07-28,10218.178902634629
2015-07-29,10048.914928957352
2015-07-30,9983.884046115822
2015-07-31,9876.71354426112
2015-08-01,9770.350112633114
2015-08-02,9805.433829296027
