Date,Open,High,Low,Close,Volume,Log_Ret,Volatility,SMA_200
2015-04-04,254.29100036621094,255.25799560546875,251.10000610351562,253.69700622558594,12493500,-0.0024605390743548295,0.5454526230372768,310.84317024230955
2015-04-05,253.76100158691406,260.67498779296875,251.94200134277344,260.5979919433594,19649200,0.02683829306360957,0.5520304094329844,309.8594901275635
2015-04-06,260.72100830078125,261.7980041503906,254.5749969482422,255.49200439453125,20034200,-0.019787843949012902,0.5499114540588639,309.0147501373291
2015-04-07,255.2740020751953,255.80499267578125,252.2050018310547,253.17999267578125,18467400,-0.009090445919442811,0.5484457342791597,308.3066701507568
2015-04-08,253.06399536132812,253.8470001220703,244.21499633789062,245.02200317382812,30086400,-0.03275265389486289,0.4183571497923565,307.4872602081299
2015-04-09,244.75100708007812,246.1179962158203,239.39999389648438,243.67599487304688,21643500,-0.00550856238328955,0.4120379269074201,306.7115351104736
2015-04-10,243.69400024414062,243.69400024414062,232.77099609375,236.07200622558594,28882000,-0.031702583387589446,0.42275987052928093,305.88113510131836
2015-04-11,236.01600646972656,239.53700256347656,234.1750030517578,236.552001953125,16365200,0.0020311955561355304,0.4233831576595972,304.8849401855469
2015-04-12,236.53500366210938,237.72799682617188,233.4949951171875,236.1529998779297,12387900,-0.0016881656356903948,0.40459199125430106,303.9496802520752
2015-04-13,235.9499969482422,236.93499755859375,221.99600219726562,224.58700561523438,31181800,-0.05021671457956225,0.43247314001794923,303.0147452545166
2015-04-14,224.75900268554688,224.9759979248047,216.322998046875,219.15899658203125,31719000,-0.024465706767396074,0.3443814831930171,302.08841529846194
2015-04-15,219.072998046875,223.83299255371094,218.6490020751953,223.83299255371094,22562000,0.02110272663610571,0.3556329289671821,301.2099803161621
2015-04-16,223.91700744628906,229.6719970703125,223.91700744628906,228.572998046875,24805400,0.02095542078043026,0.3634852606140416,300.46694030761716
2015-04-17,228.5749969482422,228.906005859375,221.94200134277344,222.8820037841797,20429800,-0.025213125195807665,0.37084265523195803,299.70401527404783
2015-04-18,222.85299682617188,224.3159942626953,220.87600708007812,223.3560028076172,12939000,0.0021244232660850323,0.3577925209298518,298.8860752868652
2015-04-19,223.45599365234375,226.35299682617188,222.3730010986328,222.60000610351562,15021500,-0.003390457413689029,0.3346444223679794,298.08100036621096
2015-04-20,222.61199951171875,226.3509979248047,221.9770050048828,224.62600708007812,18364700,0.009060362216785637,0.32710569312161836,297.32877044677736
2015-04-21,224.6199951171875,235.2689971923828,224.30099487304688,235.2689971923828,24978000,0.0462926999365405,0.3695197729311624,296.70755546569825
2015-04-22,235.6020050048828,237.90899658203125,233.4759979248047,234.17599487304688,23847900,-0.004656580910825517,0.3659786330689956,296.2341054534912
2015-04-23,234.05299377441406,236.47500610351562,233.19900512695312,236.46200561523438,17036000,0.009714594733087079,0.357131927113009,295.81386543273925
2015-04-24,235.97000122070312,236.30499267578125,229.93299865722656,231.26800537109375,21448700,-0.022210307810530832,0.3615867852613952,295.3198104095459
2015-04-25,231.23500061035156,232.56100463867188,226.33700561523438,226.38999938964844,13957200,-0.02131806137951217,0.3661027844259328,294.77082534790037
2015-04-26,226.41000366210938,226.94400024414062,214.87399291992188,219.42999267578125,28943700,-0.031225931376802334,0.35676810992809466,294.10327529907227
2015-04-27,219.4290008544922,233.30499267578125,218.0229949951172,229.28599548339844,38574000,0.043936871246002325,0.3967185696295975,293.42457527160644
2015-04-28,228.968994140625,229.4949951171875,223.06900024414062,225.85499572753906,21469200,-0.01507693138911128,0.3980070639621802,292.74604019165037
2015-04-29,225.59100341796875,227.0399932861328,223.42999267578125,225.80799865722656,18936500,-0.00020810680116101977,0.3856402461245838,292.06358512878415
2015-04-30,225.6929931640625,239.56300354003906,224.9929962158203,236.14500427246094,33818600,0.04476096650210979,0.4207026163994264,291.35156509399417
2015-05-01,235.93899536132812,238.96600341796875,232.07899475097656,232.07899475097656,18815300,-0.01736823289978208,0.4105418297367197,290.5598900604248
2015-05-02,232.34100341796875,235.7270050048828,232.34100341796875,234.92999267578125,12535500,0.012209757927328984,0.4129372795069503,289.73019004821776
2015-05-03,234.8800048828125,243.24000549316406,234.08299255371094,240.35800170898438,18494100,0.022841919434434907,0.4205911071597993,288.95811500549314
2015-05-04,240.3560028076172,242.63800048828125,237.80999755859375,239.01800537109375,21223400,-0.005590600314613073,0.3786515349723102,288.24042503356935
2015-05-05,238.8520050048828,239.20399475097656,232.0540008544922,236.12100219726562,23929100,-0.012194490570728496,0.3697313827304199,287.5022400665283
2015-05-06,236.24899291992188,236.45399475097656,229.2310028076172,229.78199768066406,29587200,-0.02721337153245333,0.3786064754801735,286.6939401245117
2015-05-07,229.66200256347656,239.10499572753906,228.572998046875,237.33399963378906,29064400,0.032337406914244825,0.3880074078958154,285.9328801727295
2015-05-08,237.20399475097656,246.27499389648438,236.2740020751953,243.86300659179688,27445500,0.0271381890420925,0.3844636264455842,285.23797019958494
2015-05-09,243.7689971923828,247.8040008544922,239.63900756835938,241.83200073242188,19790500,-0.00836334599719275,0.3869146670718209,284.5147551727295
2015-05-10,241.72900390625,244.0679931640625,238.8489990234375,240.29600524902344,15019100,-0.0063717546420386335,0.38774820304233454,283.80044525146485
2015-05-11,240.2989959716797,244.27000427246094,239.37600708007812,242.1580047607422,20892300,0.007718906748170874,0.38753982765362244,283.21915031433105
2015-05-12,242.14500427246094,242.88099670410156,240.0989990234375,241.11199951171875,19282600,-0.004328871534384656,0.35559668094838154,282.6329853057861
2015-05-13,241.3979949951172,243.70399475097656,235.0449981689453,236.3769989013672,27180100,-0.019833570375609212,0.3625477002032148,282.0785153198242
2015-05-14,236.21400451660156,237.7989959716797,234.0570068359375,236.9290008544922,24413700,0.002332538373417759,0.3610684954351297,281.4896402740479
2015-05-15,236.9550018310547,238.7530059814453,236.7949981689453,237.60499572753906,16329400,0.002849091256635625,0.35188218282871886,280.9127201843262
2015-05-16,237.6439971923828,237.69700622558594,235.2949981689453,236.1529998779297,11089700,-0.006129713522271202,0.3434198573067671,280.3053951263428
2015-05-17,236.00999450683594,238.02499389648438,236.00999450683594,236.802001953125,11134300,0.002744457633568561,0.3214542947820389,279.81145011901856
2015-05-18,236.88699340820312,237.2100067138672,232.4600067138672,233.1280059814453,16780300,-0.015636672562722796,0.292245351854865,279.25056518554686
2015-05-19,233.03700256347656,234.1510009765625,231.81700134277344,231.94700622558594,14241900,-0.005078760472612182,0.28741753701542094,278.71869514465334
2015-05-20,231.88999938964844,234.68299865722656,231.8419952392578,234.01800537109375,15499400,0.008889134295103438,0.28855449009622125,278.2600402069092
