2026-03-13 13:11:44 | INFO | data_loader | Loading SPY data from cache: C:\Users\tw_strat\RDMA_2\data_storage\SPY_processed.csv
2026-03-13 13:11:45 | INFO | data_loader | Loading SPY data from cache: C:\Users\tw_strat\RDMA_2\data_storage\SPY_processed.csv
2026-03-13 13:11:46 | INFO | data_loader | Downloading GLD data from Yahoo Finance (2000-01-01 to 2025-01-01)...
2026-03-13 13:11:47 | INFO | data_loader | Calculating Volatility and Regime Features...
2026-03-13 13:11:47 | INFO | data_loader | Dropped 199 rows due to rolling window initialization.
2026-03-13 13:11:47 | INFO | data_loader | Saved processed data to C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:48 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:49 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:49 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:50 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:50 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:51 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:52 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:52 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:53 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:54 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:54 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:55 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:55 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:56 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:57 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:58 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
2026-03-13 13:11:58 | INFO | data_loader | Loading GLD data from cache: C:\Users\tw_strat\RDMA_2\data_storage\GLD_processed.csv
