2026-03-13 13:12:05 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:12:06 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:12:06 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:12:07 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:12:08 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:12:09 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:12:09 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:12:10 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:12:11 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:12:11 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:12:12 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:12:13 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:12:13 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:12:14 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:12:15 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:12:15 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:12:17 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:12:18 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:12:19 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:12:20 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:12:21 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:12:22 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:12:23 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:12:24 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:12:24 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:12:26 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:12:26 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:12:27 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:12:28 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:12:29 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:12:30 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:12:31 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:12:32 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:12:33 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:15:09 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:15:53 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:16:20 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:17:24 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:17:33 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:17:45 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:35:11 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:37:31 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:37:34 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:37:35 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:37:36 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:37:37 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:37:38 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:37:39 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:37:40 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:37:41 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MomentumStrategy
2026-03-13 13:37:42 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:37:43 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:37:44 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: BreakoutStrategy
2026-03-13 13:37:45 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:37:46 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:37:47 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MovingAverageCrossStrategy
2026-03-13 13:37:48 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:37:49 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:37:50 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: VolatilityBreakoutStrategy
2026-03-13 13:37:51 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:37:52 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:37:53 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: MeanReversionStrategy
2026-03-13 13:37:54 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:37:54 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
2026-03-13 13:37:55 | INFO | strategy_wrapper | Training Regime Detector and Inner Strategy: TrendFollowingStrategy
